Account Manager,Sold To ID,Sold To Name,Ship To ID,Ship To ID.1,Ship To City,Street Address,State,Ship To Zip Code,Full Address,Ship To Trans. Zone,Latitude,Longitude,Route Name,Day,Total Orders,Total Deliveries,Avg. Deliveries,Avg. Lines,Avg. Revenue,Total Revenue,Avg. GP,Total GP,Quantity,Margin
Bob Carberry (0000143011),293699,Precision Acura of Princeton,293699,Precision Acura of Princeton,Lawrenceville,3001 US Highway 1,NJ,8648,"3001 US Highway 1 Lawrenceville, NJ 08648",1430005,40.276807,-74.705137,A,Wednesday,17,18,1.058823529,3.529411765,1617.802353,27502.64,445.89,7580.13,92,0.275614632
Leianne Krotec (0000143021),294138,New Life Thrift Inc,294138,New Life Thrift Inc,Glenside,800 N Easton Rd,PA,19038,"800 N Easton Rd Glenside, PA 19038",1430009,40.114804,-75.139946,E,Monday,11,11,1,2.181818182,284.9836364,3134.82,108.1118182,1189.23,47,0.379361494
Leianne Krotec (0000143021),294842,FAMILY WORSHIP CENTER,294842,Family Worship Center,Lansdale,1000 Troxel Rd,PA,19446,"1000 Troxel Rd Lansdale, PA 19446",1430019,40.243938,-75.320263,C,Tuesday,7,8,1.142857143,2,190.2157143,1331.51,97.21857143,680.53,18,0.511096424
Tom McKevitt (0000143010),295270,Dreamline,295270,Dreamline,Warminster,75 Hawk Rd,PA,18974,"75 Hawk Rd Warminster, PA 18974",1430004,40.199521,-75.082562,A,Friday,7,10,1.428571429,1.285714286,1114.064286,7798.45,232.1842857,1625.29,108,0.208411928
Nick Misciagno (0000143017),295439,National Glass and Metal Co. I,295439,National Glass and Metal Co. I,Horsham,1424 Easton Rd Ste 400,PA,19044,"1424 Easton Rd Ste 400 Horsham, PA 19044",1430004,40.20087,-75.13876,A,Friday,8,10,1.25,1.625,338.035,2704.28,129.7125,1037.7,52,0.383725058
Paul Carberry (0000143018),296247,ST PATRICK PARISH,296247,St Patrick Parish,Malvern,131 Channing Ave,PA,19355,"131 Channing Ave Malvern, PA 19355",1430013,40.03547,-75.51195,C,Monday/Thursday,13,19,1.461538462,3.307692308,1157.541538,15048.04,387.1946154,5033.53,251,0.334497383
Leianne Krotec (0000143021),296325,Phil Mont Christian Academy,296325,Phil Mont Christian Academy,Erdenheim,35 Hillcrest Rd,PA,19038,"35 Hillcrest Rd Erdenheim, PA 19038",1430019,40.088863,-75.179926,C,Tuesday,8,8,1,1.25,174.57625,1396.61,62.3225,498.58,37.5,0.356993004
Leianne Krotec (0000143021),296716,Sanctuary United Methodist Chu,296716,Sanctuary United Methodist Chu,North Wales,1346 E Prospect Ave,PA,19454,"1346 E Prospect Ave North Wales, PA 19454",1430019,40.218085,-75.261835,C,Tuesday,7,8,1.142857143,3.571428571,174.6642857,1222.65,51.80142857,362.61,31,0.296577107
David Smith (0000143023),296933,Delaware County Intermediate U,296933,Delaware County Intermediate U,Morton,200 Yale Ave,PA,19070,"200 Yale Ave Morton, PA 19070",1430001,39.906192,-75.332462,D,Monday,11,15,1.363636364,3.727272727,2954.265455,32496.92,1227.256364,13499.82,256,0.415418446
Leianne Krotec (0000143021),297316,CALVARY CHURCH,297316,CALVARY CHURCH,Souderton,820 Route 113,PA,18964,"820 Route 113 Souderton, PA 18964",1430015,40.324551,-75.298707,E,Tuesday/Friday,13,18,1.384615385,3.538461538,586.7876923,7628.24,211.9823077,2755.77,160,0.361258954
Paul Carberry (0000143018),297728,Bible Baptist Church,297728,Bible Baptist Church,West Chester,1237 Paoli Pike,PA,19380,"1237 Paoli Pike West Chester, PA 19380",1430002,39.981588,-75.569515,C,Friday,13,20,1.538461538,5.384615385,779.72,10136.36,304.8061538,3962.48,150,0.39091745
Leianne Krotec (0000143021),298872,Peter Becker Community,298872,Peter Becker Community,Harleysville,800 Maple Ave,PA,19438,"800 Maple Ave Harleysville, PA 19438",1430015,40.288925,-75.375712,E,Tuesday/Friday,9,11,1.222222222,4.777777778,1320.938889,11888.45,434.1944444,3907.75,77,0.328701387
Nick Misciagno (0000143017),299033,Kendall Electric,299033,Kendall Electric,CONSHOHOCKEN,15 Colwell Ln,PA,19428,"15 Colwell Ln CONSHOHOCKEN, PA 19428",1430013,40.079589,-75.310718,C,Monday/Thursday,11,11,1,2.363636364,738.1872727,8120.06,222.1827273,2444.01,133,0.300984229
Chuck Lutes (0000143024),299233,Pine Run Health Center,299233,Pine Run Health Center,Doylestown,777 Ferry Rd,PA,18901,"777 Ferry Rd Doylestown, PA 18901",1430003,40.31585,-75.17526,A,Tuesday,11,11,1,1.909090909,546.9718182,6016.69,169.4045455,1863.45,146,0.30971348
Nick Misciagno (0000143017),299777,Haverford College,299777,Haverford College,HAVERFORD,370 W LANCASTER AVE,PA,19041,"370 W LANCASTER AVE HAVERFORD, PA 19041",1430002,40.011754,-75.299429,C,Friday,14,22,1.571428571,4.5,1480.111429,20721.56,514.2935714,7200.11,414,0.347469496
Tom McKevitt (0000143010),299906,Roseto Borough,299906,Roseto Borough,Roseto,164 Garibaldi Ave,PA,18013,"164 Garibaldi Ave Roseto, PA 18013",1430014,40.87866,-75.214595,E,Tuesday,6,6,1,1.5,135.285,811.71,52.68833333,316.13,13,0.389461754
Bob Carberry (0000143011),300554,Stone Hill Church of Princeton,300554,Stone Hill Church of Princeton,Princeton,1025 Bunn Dr,NJ,8540,"1025 Bunn Dr Princeton, NJ 08540",1430005,40.383236,-74.647844,A,Wednesday,17,25,1.470588235,4.352941176,370.2223529,6293.78,136.5611765,2321.54,117,0.368862591
Open S. NJ (0000143012),302687,Bishop McHugh Regional Catholi,302687,Bishop McHugh Regional Catholi,Cape May Court House,2221 Route 9 N,NJ,8210,"2221 Route 9 N Cape May Court House, NJ 08210",1430010,39.163859,-74.75338,E,Thursday,11,13,1.181818182,3.545454545,524.4936364,5769.43,199.3909091,2193.3,85,0.380158872
Paul Carberry (0000143018),303635,Misko Inc.,303635,Misko Inc.,EXTON,171 Philips Rd,PA,19341,"171 Philips Rd EXTON, PA 19341",1430013,40.061514,-75.642669,C,Monday/Thursday,6,8,1.333333333,2.833333333,734.23,4405.38,254.1383333,1524.83,71,0.346129051
Chuck Lutes (0000143024),304821,Horsham Athletic Club LLC,304821,Horsham Athletic Club LLC,Horsham,400 Horsham Rd,PA,19044,"400 Horsham Rd Horsham, PA 19044",1430004,40.183831,-75.136796,A,Friday,8,8,1,1,1011.06875,8088.55,374.28125,2994.25,63,0.370183778
Tom McKevitt (0000143010),305232,Sweetbriar Restaurant,305232,Sweetbriar Restaurant,Ambler,11 Lindenwold Ave,PA,19002,"11 Lindenwold Ave Ambler, PA 19002",1430013,40.155794,-75.214309,C,Monday/Thursday,7,7,1,2.428571429,340.4957143,2383.47,137.6314286,963.42,29,0.404208989
David Smith (0000143023),305532,Newark Charter Jr High Campus,305532,Newark Charter Jr High Campus,Newark,1089 Elkton Rd,DE,19711,"1089 Elkton Rd Newark, DE 19711",1430007,39.65978,-75.77838,D,Friday,25,40,1.6,4.68,1008.3552,25208.88,291.8556,7296.39,820,0.289437294
David Smith (0000143023),305533,Newark Charter High Campus,305533,Newark Charter High Campus,Newark,200 McIntire Dr,DE,19711,"200 McIntire Dr Newark, DE 19711",1430007,39.65315,-75.787725,D,Friday,27,46,1.703703704,5.814814815,1130.472963,30522.77,307.797037,8310.52,858,0.272272798
David Smith (0000143023),306315,Bright New Scholars Academy,306315,Bright New Scholars Academy,Newark,355 Corporate Blvd,DE,19702,"355 Corporate Blvd Newark, DE 19702",1430007,39.61596,-75.755594,D,Friday,6,6,1,3.5,470.285,2821.71,131.4366667,788.62,55,0.279483009
Tom McKevitt (0000143010),306637,BIOSPECTRA INC,306637,Biospectra Inc,Bangor,100 Majestic Way,PA,18013,"100 Majestic Way Bangor, PA 18013",1430015,40.855868,-75.20077,E,Tuesday/Friday,10,12,1.2,1.8,654.619,6546.19,215.615,2156.15,62,0.329374797
Tom McKevitt (0000143010),307689,St Huberts High School,307689,St Huberts High School,Philadelphia,7320 Torresdale Ave,PA,19136,"7320 Torresdale Ave Philadelphia, PA 19136",1430009,40.030893,-75.034557,E,Monday,12,29,2.416666667,5.666666667,2242.64,26911.68,757.3858333,9088.63,818,0.337720648
Bob Carberry (0000143011),307799,South Brunswick School Distric,307799,South Brunswick School Distric,Monmouth Junction,4 Executive Dr,NJ,8852,"4 Executive Dr Monmouth Junction, NJ 08852",1430005,40.414785,-74.533819,A,Wednesday,16,31,1.9375,4.3125,5950.763125,95212.21,2461.373125,39381.97,3181,0.413623106
Paul Carberry (0000143018),307803,Renaissance Academy Charter Sc,307803,Renaissance Academy Charter Sc,Phoenixville,413 Fairview St,PA,19460,"413 Fairview St Phoenixville, PA 19460",1430016,40.141263,-75.522552,C,Wednesday,8,8,1,1.625,2081.99,16655.92,794.36625,6354.93,257,0.381541818
Leianne Krotec (0000143021),308434,St Eleanor Catholic Church,308434,St Eleanor Catholic Church,Collegeville,647 Locust St,PA,19426,"647 Locust St Collegeville, PA 19426",1430016,40.186391,-75.463662,C,Wednesday,14,18,1.285714286,2.5,415.5228571,5817.32,108.6592857,1521.23,132,0.261500141
Nick Misciagno (0000143017),309392,Holy Child School At Rosemont,309392,Holy Child School At Rosemont,Bryn Mawr,1344 MONTGOMERY AVE,PA,19010,"1344 MONTGOMERY AVE Bryn Mawr, PA 19010",1430002,40.031834,-75.326818,C,Friday,14,19,1.357142857,5.142857143,1125.999286,15763.99,300.7364286,4210.31,330,0.267084031
Paul Carberry (0000143018),311144,ABC123 Early Learning Center,311144,ABC123 Early Learning Center,Phoenixville,2280 KIMBERTON RD,PA,19460,"2280 KIMBERTON RD Phoenixville, PA 19460",1430016,40.131014,-75.56631,C,Wednesday,10,14,1.4,4,583.432,5834.32,225.983,2259.83,336,0.387333914
Leianne Krotec (0000143021),312114,Transcend Facility Management,312114,Transcend Facility Management,EXTON,479 THOMAS JONES WAY,PA,19341,"479 THOMAS JONES WAY EXTON, PA 19341",1430013,40.020604,-75.651256,C,Monday/Thursday,11,13,1.181818182,2.454545455,397.23,4369.53,95.20090909,1047.21,94,0.239661932
Chuck Lutes (0000143024),313002,Solebury School,313002,Solebury School,New Hope,6832 Phillips Mill Rd,PA,18938,"6832 Phillips Mill Rd New Hope, PA 18938",1430003,40.380089,-74.989949,A,Tuesday,8,10,1.25,3.125,412.215,3297.72,145.3275,1162.62,123,0.352552673
Tom McKevitt (0000143010),313100,First Church of Our Lord Jesus,313100,First Church of Our Lord Jesus,Philadelphia,5105 N 5TH ST,PA,19120,"5105 N 5TH ST Philadelphia, PA 19120",1430009,40.028991,-75.131842,E,Monday,11,14,1.272727273,5.363636364,849.7809091,9347.59,330.3390909,3633.73,239,0.388734422
Chuck Lutes (0000143024),313176,St Mary Rehabilitation Hospita,313176,St Mary Rehabilitation Hospita,Langhorne,1208 Langhorne Newtown Rd,PA,19047,"1208 Langhorne Newtown Rd Langhorne, PA 19047",1430003,40.200589,-74.932329,A,Tuesday,7,9,1.285714286,2.571428571,557.32,3901.24,222.5457143,1557.82,38,0.399314064
Delaware Valley Office (0000143001),315018,Maddie Colon,315018,Maddie Colon,Philadelphia,1330 Magee Ave,PA,19111,"1330 Magee Ave Philadelphia, PA 19111",1430009,40.043213,-75.07781,E,Monday,12,12,1,1.416666667,35.86916667,430.43,-0.195,-2.34,23,-0.005436424
John Carberry (0000143015),317447,Galloway Township Municipal,317447,Galloway Township Municipal,Galloway,300 E Jimmie Leeds Rd,NJ,8205,"300 E Jimmie Leeds Rd Galloway, NJ 08205",1430012,39.464634,-74.499216,E,Wednesday,10,15,1.5,5.4,1473.007,14730.07,411.12,4111.2,460,0.279102543
Mike Schlitter (0000142011),318590,ABC FACILITY SERVICES INC#,318590,ABC FACILITY SERVICES INC#,Avondale,5 Greenview Ln,PA,19311,"5 Greenview Ln Avondale, PA 19311",1430007,39.813675,-75.7345,D,Friday,7,7,1,1,195.1028571,1365.72,68.28714286,478.01,13,0.350005858
Chuck Lutes (0000143024),318760,Chandler Hall,318760,Chandler Hall,Newtown,99 BARCLAY ST,PA,18940,"99 BARCLAY ST Newtown, PA 18940",1430003,40.221387,-74.939626,A,Tuesday,10,13,1.3,2.8,773.921,7739.21,213.711,2137.11,112,0.276140588
Nick Misciagno (0000143017),319931,Audi of Devon,319931,Audi of Devon,Devon,222 W Lancaster Ave,PA,19333,"222 W Lancaster Ave Devon, PA 19333",1430002,40.044399,-75.425316,C,Friday,11,11,1,2.545454545,319.7709091,3517.48,76.56090909,842.17,74,0.239424247
Tom McKevitt (0000143010),320010,Gwynedd Mercy Academy Elementa,320010,Gwynedd Mercy Academy Elementa,Ambler,816 Norristown Rd,PA,19002,"816 Norristown Rd Ambler, PA 19002",1430019,40.18446,-75.22562,C,Tuesday,8,8,1,1.75,78.205,625.64,37.34625,298.77,40,0.477542996
Matthew Morris (0000142013),321216,The Bottom Line,321216,The Bottom Line,Allentown,7220 Windsor Dr,PA,18106,"7220 Windsor Dr Allentown, PA 18106",1430015,40.58291,-75.612475,E,Tuesday/Friday,7,7,1,5,1052.782857,7369.48,388.59,2720.13,144,0.369107454
Open S. NJ (0000143012),322072,Matteras Liquors Canals,322072,Matteras Liquors Canals,Rio Grande,1613 Route 47,NJ,8242,"1613 Route 47 Rio Grande, NJ 08242",1430010,39.010974,-74.871165,E,Thursday,6,7,1.166666667,2,545.9566667,3275.74,156.8533333,941.12,57,0.287299969
Paul Carberry (0000143018),322083,Calvary Chapel of Delaware Cou,322083,Calvary Chapel of Delaware Cou,Chadds Ford,500 Brandywine Dr,PA,19317,"500 Brandywine Dr Chadds Ford, PA 19317",1430001,39.882412,-75.555278,D,Monday,10,20,2,7.9,1710.735,17107.35,588.086,5880.86,661,0.343762184
Paul Carberry (0000143018),322474,Fox & Roach,322474,Fox & Roach,HAVERFORD,338 W Lancaster Ave,PA,19041,"338 W Lancaster Ave HAVERFORD, PA 19041",1430002,40.01139,-75.29818,C,Friday,7,8,1.142857143,2.571428571,163.6371429,1145.46,57.37428571,401.62,18,0.350618965
Paul Carberry (0000143018),323329,CHRIST COMMUNITY CHURCH,323329,CHRIST COMMUNITY CHURCH,West Chester,1190 Phoenixville Pike,PA,19380,"1190 Phoenixville Pike West Chester, PA 19380",1430013,39.993593,-75.595584,C,Monday/Thursday,13,18,1.384615385,4.923076923,621.7746154,8083.07,203.5238462,2645.81,192,0.327327364
Bob Carberry (0000143011),323792,Golden Paws Pet Resort & Spa,323792,Golden Paws Pet Resort & Spa,Robbinsville,8 Sharon Rd,NJ,8691,"8 Sharon Rd Robbinsville, NJ 08691",1430005,40.216275,-74.617227,A,Wednesday,14,19,1.357142857,2.5,755.0592857,10570.83,296.2192857,4147.07,111,0.392312619
Open S. NJ (0000143012),325343,NJ Veterans Home at Vineland,325343,NJ Veterans Home at Vineland,Vineland,524 N West Blvd,NJ,8360,"524 N West Blvd Vineland, NJ 08360",1430010,39.495069,-75.027649,E,Thursday,14,14,1,1.642857143,1243.903571,17414.65,379.5114286,5313.16,211,0.305097145
Paul Carberry (0000143018),325399,Advent Lutheran Church,325399,ADVENT LUTHERAN CHURCH,West Chester,1601 Green Ln,PA,19382,"1601 Green Ln West Chester, PA 19382",1430002,39.962823,-75.519326,C,Friday,6,8,1.333333333,3,521.3583333,3128.15,197.9116667,1187.47,49,0.379607755
Chuck Lutes (0000143024),329340,George School,329340,George School,Newtown,1690 Newtown Langhorne Rd- PMB 4062,PA,18940,"1690 Newtown Langhorne Rd- PMB 4062 Newtown, PA 18940",1430003,40.21299,-74.94082,A,Tuesday,26,45,1.730769231,5.807692308,1238.739231,32207.22,467.3253846,12150.46,740,0.377258888
Nick Misciagno (0000143017),331272,CC - The Grayson School,331272,CC - The Grayson School,Wayne,211 W Matsonford Rd,PA,19087,"211 W Matsonford Rd Wayne, PA 19087",1430002,40.04635,-75.353767,C,Friday,8,8,1,2,805.7225,6445.78,313.935,2511.48,110,0.389631666
Paul Carberry (0000143018),331652,Assumption BVM School,331652,Assumption BVM School,West Grove,290 State Rd,PA,19390,"290 State Rd West Grove, PA 19390",1430007,39.817158,-75.817751,D,Friday,7,9,1.285714286,3.285714286,466.7671429,3267.37,151.6785714,1061.75,57,0.324955545
Chuck Lutes (0000143024),331730,The Cliffs at Callowhill,331730,The Cliffs at Callowhill,Philadelphia,1010 Callowhill St,PA,19123,"1010 Callowhill St Philadelphia, PA 19123",1430009,39.95859,-75.155816,E,Monday,27,40,1.481481481,5.222222222,483.9281481,13066.06,216.2785185,5839.52,269,0.446922791
Chris Gifuni (0000143020),332037,Kingsway Regional School Distr,332037,Kingsway Regional School Distr,Woolwich Township,213 Kings Hwy,NJ,8085,"213 Kings Hwy Woolwich Township, NJ 08085",1430010,39.761493,-75.292475,E,Thursday,31,59,1.903225806,4.290322581,5154.979677,159804.37,1768.49871,54823.46,3092,0.343066088
Leianne Krotec (0000143021),334799,TEMPLE SINAI,334799,TEMPLE SINAI,DRESHER,1401 Limekiln Pike,PA,19025,"1401 Limekiln Pike DRESHER, PA 19025",1430001,40.156985,-75.180559,D,Monday,8,10,1.25,4.25,402.88375,3223.07,178.325,1426.6,120,0.442621476
Bob Carberry (0000143011),337510,Watchung Regional High School,337510,Watchung Regional High School,WARREN,108 Stirling Rd,NJ,7059,"108 Stirling Rd, WARREN, NJ 07059",1430005,40.651923,-74.475785,A,Wednesday,27,38,1.407407407,3.666666667,2363.742222,63821.04,840.9496296,22705.64,1718,0.355770448
Nick Misciagno (0000143017),339092,Saint Monica Church,339092,Saint Monica Church,Berwyn,635 First Ave,PA,19312,"635 First Ave Berwyn, PA 19312",1430002,40.045947,-75.440398,C,Friday,8,14,1.75,4.5,451.27125,3610.17,124.565,996.52,178,0.276031323
Paul Carberry (0000143018),341596,J & T Commercial Cleaning Serv,341596,J & T Commercial Cleaning Serv,EXTON,117 Lori Cir,PA,19341,"117 Lori Cir EXTON, PA 19341",1430013,40.048267,-75.653438,C,Monday/Thursday,6,7,1.166666667,2,836.5266667,5019.16,278.2266667,1669.36,253,0.332597486
Bob Carberry (0000143011),342615,Flemington-Raritan Regional BO,342615,Flemington-Raritan Regional BO,Flemington,50 Court St,NJ,8822,"50 Court St Flemington, NJ 08822",1430003,40.509661,-74.863329,A,Tuesday,7,8,1.142857143,2.142857143,3563.935714,24947.55,1132.738571,7929.17,617,0.317833615
Delaware Valley Office (0000143001),342744,FLOORGUY SUPPLY LLC,342744,FLOORGUY SUPPLY LLC,New Castle,"12 McCullough Drive, Suite 10",DE,19720,"12 McCullough Drive, Suite 10 New Castle, DE 19720",1430006,39.690531,-75.571654,D,Tuesday,8,8,1,1.625,774.31625,6194.53,387.1925,3097.54,87,0.500044394
Bob Carberry (0000143011),342767,IMMACULATE CONCEPTION SCHOOL,342767,IMMACULATE CONCEPTION SCHOOL,ANNANDALE,314 OLD ALLERTON RD,NJ,8801,"314 OLD ALLERTON RD ANNANDALE, NJ 08801",1430005,40.63834,-74.88239,A,Wednesday,16,20,1.25,3.625,907.49375,14519.9,325.864375,5213.83,350,0.359081674
Nick Misciagno (0000143017),343427,Union League Liberty Hill,343427,Union League Liberty Hill,Lafayette Hill,800 Ridge Pike,PA,19444,"800 Ridge Pike Lafayette Hill, PA 19444",1430013,40.07663,-75.252817,C,Monday/Thursday,16,19,1.1875,3.1875,427.126875,6834.03,145.058125,2320.93,228,0.339613669
John Carberry (0000143015),343689,Holy Spirit High School,343689,Holy Spirit High School,Absecon,500 S New Rd,NJ,8201,"500 S New Rd Absecon, NJ 08201",1430012,39.416679,-74.509568,E,Wednesday,27,35,1.296296296,3.777777778,695.9,18789.3,219.4477778,5925.09,331,0.315343839
Open S. NJ (0000143012),343882,Lower Township School District,343882,Lower Township School District,Cape May,905 Seashore Rd,NJ,8204,"905 Seashore Rd Cape May, NJ 08204",1430010,38.966634,-74.920736,E,Thursday,6,7,1.166666667,4.333333333,2288.756667,13732.54,648.925,3893.55,1053,0.283527301
Nick Misciagno (0000143017),344300,TRINITY LUTHERAN CHURCH,344300,TRINITY LUTHERAN CHURCH,NORRISTOWN,1190 Valley Forge Rd,PA,19403,"1190 Valley Forge Rd NORRISTOWN, PA 19403",1430016,40.16624,-75.370719,C,Wednesday,14,20,1.428571429,4,347.7478571,4868.47,74.52642857,1043.37,285,0.214311683
Nick Misciagno (0000143017),345060,Chester Charter Scholars Acade,345060,Chester Charter Scholars Acade,Chester,1500 Highland Ave,PA,19013,"1500 Highland Ave Chester, PA 19013",1430001,39.838727,-75.399327,D,Monday,8,8,1,2.25,2071.86,16574.88,825.105,6600.84,119,0.398243607
Delaware Valley Office (0000143001),345425,THE WILLOWSTONE SCHOOL,345425,THE WILLOWSTONE SCHOOL,Malvern,340 Central Ave,PA,19355,"340 Central Ave Malvern, PA 19355",1430013,40.039401,-75.506705,C,Monday/Thursday,6,8,1.333333333,4.166666667,688.8533333,4133.12,236.84,1421.04,107,0.343817745
Delaware Valley Office (0000143001),345426,VIC'S CARPET DRY CLEANERS & DR,345426,VIC'S CARPET DRY CLEANERS & DR,Coatesville,1149 Lone Eagle Rd,PA,19320,"1149 Lone Eagle Rd Coatesville, PA 19320",1430013,39.956546,-75.763119,C,Monday/Thursday,6,6,1,1,193.3116667,1159.87,33.29333333,199.76,21,0.172226198
Leianne Krotec (0000143021),345513,CORPORATE CLEANING GROUP INC,345513,CORPORATE CLEANING GROUP INC,Blue Bell,1746 Hallman Dr,PA,19422,"1746 Hallman Dr Blue Bell, PA 19422",1430013,40.160615,-75.323715,C,Monday/Thursday,10,11,1.1,2.7,136.858,1368.58,33.244,332.44,55,0.242908708
Delaware Valley Office (0000143001),345521,Ron Hopp,345521,Ron Hopp,Hatboro,501 Fitch Rd,PA,19040,"501 Fitch Rd Hatboro, PA 19040",1430004,40.16988,-75.09948,A,Friday,6,6,1,2.5,309.655,1857.93,135.8483333,815.09,38,0.43870867
Chris Gifuni (0000143020),345928,Eastampton Township School Dis,345928,Eastampton Township School Dis,Eastampton,1 Student Drive,NJ,8060,"1 Student Drive Eastampton, NJ 08060",1430017,39.999296,-74.755014,A,Monday,6,7,1.166666667,2.666666667,867.9266667,5207.56,308.8283333,1852.97,156,0.355823073
Tom McKevitt (0000143010),345959,SCIENCE HISTORY INSTITUTE,345959,SCIENCE HISTORY INSTITUTE,Philadelphia,315 Chestnut St,PA,19106,"315 Chestnut St Philadelphia, PA 19106",1430009,39.948898,-75.146544,E,Monday,6,10,1.666666667,5,799.7333333,4798.4,277.5383333,1665.23,187,0.347038596
Matthew Morris (0000142013),239932,EAST PENN MFG CO INC#,416022,EAST PENN -Fleet Maintenance O,Lyon Station,102 Deka Rd,PA,19536,"102 Deka Rd Lyon Station, PA 19536",1430041,40.475554,-75.762447,K,All,7,9,1.285714286,1.857142857,374.9757143,2624.83,80.29571429,562.07,84,0.214135773
John Carberry (0000143015),244387,Greater Egg Harbor Dist Oakcre,416125,Absegami High School,Galloway,201 S Wrangleboro Rd,NJ,8205,"201 S Wrangleboro Rd Galloway, NJ 08205",1430012,39.480457,-74.516106,E,Wednesday,9,12,1.333333333,3,2666.886667,24001.98,795.0022222,7155.02,790,0.29810124
Chuck Lutes (0000143024),245998,Pennsbury School District,416141,Afton Elementary School,Yardley,1673 Quarry Rd,PA,19067,"1673 Quarry Rd Yardley, PA 19067",1430003,40.24457,-74.876542,A,Tuesday,16,17,1.0625,3.875,1019.874375,16317.99,341.85125,5469.62,290,0.335189567
John Carberry (0000143015),244713,Atlantic City Board of Educati,416222,Atlantic City High School,Atlantic City,1400 N Albany Ave,NJ,8401,"1400 N Albany Ave Atlantic City, NJ 08401",1430012,39.367274,-74.477408,E,Wednesday,18,26,1.444444444,2.666666667,2714.556667,48862.02,775.38,13956.84,809,0.285637802
Paul Carberry (0000143018),246051,Pottstown School District,416252,Barth Elementary,Pottstown,467 West Walnut St,PA,19464,"467 West Walnut St Pottstown, PA 19464",1430016,40.252648,-75.671985,C,Wednesday,10,17,1.7,4.1,1948.958,19489.58,766.67,7666.7,491,0.393374306
Paul Carberry (0000143018),243341,Downingtown Area School Dist,416280,Maintenance Warehouse,Downingtown,540 Trestle Pl,PA,19335,"540 Trestle Pl Downingtown, PA 19335",1430013,39.997323,-75.698977,C,Monday/Thursday,13,19,1.461538462,1.923076923,5219.703846,67856.15,1616.057692,21008.75,597,0.309607162
Paul Carberry (0000143018),246028,Phoenixville Area School Distr,416348,District Administrative Office,Phoenixville,386 City Line Ave,PA,19460,"386 City Line Ave Phoenixville, PA 19460",1430016,40.120511,-75.522121,C,Wednesday,7,8,1.142857143,2.714285714,178.29,1248.03,56.51857143,395.63,39,0.317003598
David Smith (0000143023),242914,Appoquinimink School District,416425,Brickmill Elementary School,MIDDLETOWN,378 Brick Mill Rd,DE,19709,"378 Brick Mill Rd MIDDLETOWN, DE 19709",1430018,39.458976,-75.686578,D,Thursday,7,16,2.285714286,11.42857143,2130.82,14915.74,690.9914286,4836.94,522,0.32428428
David Smith (0000143023),242914,Appoquinimink School District,416571,Cedar Lane Elementary School,MIDDLETOWN,1259 Cedar Lane Rd,DE,19709,"1259 Cedar Lane Rd MIDDLETOWN, DE 19709",1430018,39.501475,-75.687318,D,Thursday,7,12,1.714285714,7.714285714,2481.231429,17368.62,608.8942857,4262.26,461,0.245400038
Chuck Lutes (0000143024),245998,Pennsbury School District,416587,Charles Boehm Middle School,Yardley,866 Big Oak Rd,PA,19067,"866 Big Oak Rd Yardley, PA 19067",1430003,40.209036,-74.827102,A,Tuesday,9,12,1.333333333,5.555555556,2144.205556,19297.85,714.6444444,6431.8,291,0.333291014
Chuck Lutes (0000143024),243238,County of Bucks,416599,COB - Neshaminy Manor Nursing,Warrington,1660 Easton Rd,PA,18976,"1660 Easton Rd Warrington, PA 18976",1430003,40.267364,-75.133726,A,Tuesday,7,10,1.428571429,1.285714286,843.2285714,5902.6,318.3785714,2228.65,151,0.377570901
Chris Gifuni (0000143020),242996,Clearview Regional Board of Ed,416687,Clearview Regional High School,Mullica Hill,625 Breakneck Rd,NJ,8062,"625 Breakneck Rd Mullica Hill, NJ 08062",1430010,39.75051,-75.208145,E,Thursday,6,11,1.833333333,3.666666667,5468.048333,32808.29,1558.415,9350.49,451,0.285003882
Matthew Morris (0000142013),269917,Pleasant Valley School Distric,416689,Pleasant Valley High School,Brodheadsville,1671 Route 209,PA,18322,"1671 Route 209 Brodheadsville, PA 18322",1430014,40.922746,-75.403646,E,Tuesday,7,8,1.142857143,1.428571429,4947.811429,34634.68,1433.428571,10034,33,0.289709621
Nick Misciagno (0000143017),243207,Colonial School District PA,416716,Colonial Elementary School,PLYMOUTH MEETING,230 Flourtown Rd,PA,19462,"230 Flourtown Rd PLYMOUTH MEETING, PA 19462",1430013,40.10248,-75.26686,C,Monday/Thursday,10,14,1.4,4.3,2542.863,25428.63,873.129,8731.29,516,0.343364546
Nick Misciagno (0000143017),243207,Colonial School District PA,416717,Colonial Middle School,PLYMOUTH MEETING,716 Belvoir Rd,PA,19462,"716 Belvoir Rd PLYMOUTH MEETING, PA 19462",1430013,40.126927,-75.309571,C,Monday/Thursday,12,20,1.666666667,1.666666667,1030.2625,12363.15,371.9866667,4463.84,260,0.361060086
Leianne Krotec (0000143021),246237,Upper Dublin School District,416794,Fort Washington Elementary Sch,Fort Washington,1010 Fort Washington Ave,PA,19034,"1010 Fort Washington Ave Fort Washington, PA 19034",1430013,40.14811,-75.20184,C,Monday/Thursday,6,9,1.5,2.666666667,985.9166667,5915.5,408.2133333,2449.28,146,0.414044459
Nick Misciagno (0000143017),246689,Rose Tree Media School Distric,416930,RTMSD Maintenance & Operations,Media,134 Barren Rd,PA,19063,"134 Barren Rd Media, PA 19063",1430002,39.923111,-75.430685,C,Friday,7,8,1.142857143,1.714285714,1316.754286,9217.28,391.8085714,2742.66,124,0.297556329
