Account Manager,Sold To ID,Sold To Name,Ship To ID,Ship To ID.1,Ship To City,Street Address,State,Ship To Zip Code,Full Address,Ship To Trans. Zone,Latitude,Longitude,Route Name,Day,Total Orders,Total Deliveries,Avg. Deliveries,Avg. Lines,Avg. Revenue,Total Revenue,Avg. GP,Total GP,Quantity,Margin,Cluster
Chuck Lutes (0000143024),246234,Morrisville School District,246234,Morrisville School District,Morrisville,550 W Palmer St,PA,19067,"550 W Palmer St Morrisville, PA 19067",1430003,40.208802,-74.789079,A,Tuesday,19,31,1.631578947,5.105263158,2480.63,47131.97,966.4652632,18362.84,722.0,0.389604763,5
Paul Carberry (0000143018),246241,Scott Honda of West Chester,246241,Scott Honda of West Chester,West Chester,706 Autopark Blvd,PA,19382,"706 Autopark Blvd West Chester, PA 19382",1430002,39.954438,-75.586223,C,Friday,23,31,1.347826087,2.869565217,565.7504348,13012.26,125.7621739,2892.53,271.0,0.222292669,8
Chris Gifuni (0000143020),246269,Shamong Township Public School,246269,Shamong Township Public School,Shamong,295 Indian Mills Rd,NJ,8088,"295 Indian Mills Rd Shamong, NJ 08088",1430011,39.818153,-74.7653,A,Thursday,6,6,1.0,1.0,158.1266667,948.76,66.73333333,400.4,32.0,0.422024537,21
Tom McKevitt (0000143010),246395,Tinius Olsen Testing Machine C,246395,Tinius Olsen Testing Machine C,Horsham,1065 Easton Rd,PA,19044,"1065 Easton Rd Horsham, PA 19044",1430004,40.198192,-75.139306,A,Friday,10,18,1.8,2.7,800.039,8000.39,217.143,2171.43,125.0,0.271415518,34
Tom McKevitt (0000143010),246418,"Tri-Century Eye Care, P.C.",246418,"Tri-Century Eye Care, P.C.",Southampton,319 2nd Street Pike,PA,18966,"319 2nd Street Pike Southampton, PA 18966",1430004,40.165638,-75.04553,A,Friday,9,10,1.111111111,1.444444444,260.4066667,2343.66,96.35666667,867.21,33.0,0.370023809,36
Chuck Lutes (0000143024),246467,Upper Bucks Co Tech School,246467,Upper Bucks Co Tech School,Perkasie,3115 Ridge Rd,PA,18944,"3115 Ridge Rd Perkasie, PA 18944",1430015,40.430525,-75.234277,E,Tuesday/Friday,12,20,1.666666667,3.0,1307.228333,15686.74,242.2591667,2907.11,332.0,0.185322763,33
Leianne Krotec (0000143021),246473,Upper Moreland School District,246473,Upper Moreland School District,WILLOW GROVE,2900 Terwood Rd,PA,19090,"2900 Terwood Rd WILLOW GROVE, PA 19090",1430004,40.157426,-75.108329,A,Friday,6,7,1.166666667,2.833333333,466.4716667,2798.83,198.6616667,1191.97,65.0,0.425881529,8
Tom McKevitt (0000143010),246511,Warminster Township Police Dep,246511,Warminster Township Police Dep,Warminster,401 Gibson Ave,PA,18974,"401 Gibson Ave Warminster, PA 18974",1430004,40.2053,-75.10799,A,Friday,6,6,1.0,3.5,442.3433333,2654.06,181.8983333,1091.39,48.0,0.41121527,24
Tom McKevitt (0000143010),246514,Warminster Township Parks & Re,246514,Warminster Township Parks & Re,Warminster,1100 Veterans Way,PA,18974,"1100 Veterans Way Warminster, PA 18974",1430019,40.199826,-75.06548,C,Tuesday,7,10,1.428571429,1.857142857,693.7042857,4855.93,276.2357143,1933.65,73.0,0.398203846,15
Paul Carberry (0000143018),246526,Westminster Presbyterian Churc,246526,WESTMINSTER PRESBYTERIAN CHURC,West Chester,10 W Pleasant Grove Rd,PA,19382,"10 W Pleasant Grove Rd West Chester, PA 19382",1430002,39.925927,-75.583779,C,Friday,7,9,1.285714286,8.142857143,1067.791429,7474.54,417.9257143,2925.48,205.0,0.391392648,37
Leianne Krotec (0000143021),246567,Windcrest Animal Hospital,246567,Windcrest Animal Hospital,Wilmington,3705 Lancaster Pike,DE,19805,"3705 Lancaster Pike Wilmington, DE 19805",1430006,39.755454,-75.594253,D,Tuesday,10,16,1.6,3.1,445.169,4451.69,140.259,1402.59,83.0,0.315069109,24
Leianne Krotec (0000143021),246590,Ye Olde Ale House,246590,Ye Olde Ale House,Lafayette Hill,405 Germantown Pike,PA,19444,"405 Germantown Pike Lafayette Hill, PA 19444",1430013,40.092891,-75.260932,C,Monday/Thursday,8,8,1.0,1.625,451.7525,3614.02,197.1925,1577.54,51.0,0.436505609,24
Tom McKevitt (0000143010),246720,SnapCab by Bostock,246720,SnapCab by Bostock,Warrington,175 Titus Ave Ste 200,PA,18976,"175 Titus Ave Ste 200 Warrington, PA 18976",1430003,40.218958,-75.142737,A,Tuesday,29,34,1.172413793,1.689655172,385.7603448,11187.05,136.9589655,3971.81,256.0,0.355036404,24
Brad Miller (0000142022),246796,FAITH BAPTIST CHURCH#,246796,FAITH BAPTIST CHURCH#,Lebanon,220 S 22nd St,PA,17042,"220 S 22nd St Lebanon, PA 17042",1430035,40.332466,-76.450291,P,Tuesday/Friday,10,13,1.3,3.1,328.18,3281.8,120.991,1209.91,49.0,0.36867268,36
Mike Schlitter (0000142011),247051,CALVARY MONUMENT BIBLE CHURCH#,247051,CALVARY MONUMENT BIBLE CHURCH#,Paradise,1660 Mine Rd,PA,17562,"1660 Mine Rd Paradise, PA 17562",1430022,39.968767,-76.06561,J,Tuesday,6,9,1.5,3.666666667,302.4,1814.4,131.105,786.63,28.0,0.43354828,36
Robert Diller (0000142017),247312,FLEX CELL PRECISION INC#,247312,FLEX CELL PRECISION INC#,Lancaster,1151 S Duke St,PA,17602,"1151 S Duke St Lancaster, PA 17602",1430024,40.026439,-76.288204,J,Monday/Thursday,9,10,1.111111111,2.222222222,472.3777778,4251.4,154.0366667,1386.33,75.0,0.326087877,8
Lancaster NP (0000142001),249200,Martin Carberry,249200,Martin Carberry,Wrightsville,6598 Southridge Ln,PA,17368,"6598 Southridge Ln Wrightsville, PA 17368",1430040,40.00961,-76.54837,L,Tuesday/Friday,6,8,1.333333333,1.666666667,49.84333333,299.06,-4.303333333,-25.82,21.0,-0.08633719,28
Paul Carberry (0000143018),251656,Montgomery School,251656,Montgomery School,Chester Springs,1141 Kimberton Rd,PA,19425,"1141 Kimberton Rd Chester Springs, PA 19425",1430013,40.091198,-75.626737,C,Monday/Thursday,10,13,1.3,2.1,885.764,8857.64,342.048,3420.48,156.0,0.386161551,6
Chuck Lutes (0000143024),254632,Fred Beans Ford Lincoln-Main,254632,Fred Beans Ford Lincoln-Main,Doylestown,876 N Easton Rd,PA,18902,"876 N Easton Rd Doylestown, PA 18902",1430003,40.33912,-75.13056,A,Tuesday,10,11,1.1,1.0,3090.673,30906.73,1504.485,15044.85,77.0,0.486782329,20
Paul Carberry (0000143018),254929,Closets by Design - Custom Sto,254929,Closets by Design - Custom Sto,Malvern,60 Three Tun Rd Ste 1,PA,19355,"60 Three Tun Rd Ste 1 Malvern, PA 19355",1430013,40.035835,-75.553237,C,Monday/Thursday,13,20,1.538461538,4.230769231,876.7376923,11397.59,340.8115385,4430.55,122.0,0.388726915,6
Mike Schlitter (0000142011),255873,SELECT BUILDING SERVICES,255873,SELECT BUILDING SERVICES,Lancaster,202 W JAMES ST,PA,17603,"202 W JAMES ST Lancaster, PA 17603",1430025,40.045422,-76.310024,J,Tuesday/Friday,9,15,1.666666667,7.444444444,912.6955556,8214.26,390.5677778,3515.11,319.0,0.427927774,6
Open S. NJ (0000143012),260316,McLane New Jersey Inc,260316,McLane New Jersey Inc,Carneys Point,742 Courses Landing Rd,NJ,8069,"742 Courses Landing Rd Carneys Point, NJ 08069",1430006,39.684976,-75.436821,D,Tuesday,6,9,1.5,7.5,604.8516667,3629.11,235.3316667,1411.99,252.0,0.389073354,15
Robert Diller (0000142017),264275,JACKSONS WINDOW SHOPPE INC#,264275,JACKSONS WINDOW SHOPPE INC#,Lancaster,633 Lausch Ln,PA,17601,"633 Lausch Ln Lancaster, PA 17601",1430025,40.085711,-76.339248,J,Tuesday/Friday,6,6,1.0,1.833333333,253.88,1523.28,91.99,551.94,21.0,0.362336537,36
Mike Schlitter (0000142011),264345,COMMUNITY BIBLE CHURCH*,264345,COMMUNITY BIBLE CHURCH*,Marietta,331 Anderson Ferry Road,PA,17547,"331 Anderson Ferry Road Marietta, PA 17547",1430022,40.064005,-76.54579,J,Tuesday,8,10,1.25,3.25,466.8575,3734.86,174.6,1396.8,38.0,0.373989922,8
Lancaster NP (0000142001),264813,Forrest Russell,264813,Forrest Russell,Manheim,127 E Logan Ave,PA,17545,"127 E Logan Ave Manheim, PA 17545",1430035,40.16463,-76.39165,P,Tuesday/Friday,23,24,1.043478261,1.304347826,57.88130435,1331.27,-7.566521739,-174.03,230.0,-0.130724797,28
Robert Diller (0000142017),264881,NEW PROVIDENCE CHURCH OF GOD,264881,NEW PROVIDENCE CHURCH OF GOD,New Providence,269 Cinder Rd,PA,17560,"269 Cinder Rd New Providence, PA 17560",1430025,39.9041,-76.20177,J,Tuesday/Friday,6,6,1.0,4.833333333,381.8883333,2291.33,148.6666667,892.0,53.0,0.389293554,24
Brian Deiling (0000142018),264939,THE LOOMIS COMPANY,264939,THE LOOMIS COMPANY,Wyomissing,850 N Park Rd,PA,19610,"850 N Park Rd Wyomissing, PA 19610",1430029,40.346986,-75.959635,K,Monday/Thursday,7,9,1.285714286,5.0,1516.732857,10617.13,590.5457143,4133.82,179.0,0.389353808,3
Chuck Lutes (0000143024),265138,Congregation Kol Emet,265138,Congregation Kol Emet,Yardley,1360 Oxford Valley Rd,PA,19067,"1360 Oxford Valley Rd Yardley, PA 19067",1430003,40.216277,-74.854665,A,Tuesday,7,9,1.285714286,3.714285714,586.5657143,4105.96,266.1471429,1863.03,93.0,0.453737981,15
Pete Annick (0000142010),265209,LANCASTER REHABILITATION HOSPI,265209,LANCASTER REHABILITATION HOSPI,Lancaster,675 Good Dr,PA,17601,"675 Good Dr Lancaster, PA 17601",1430025,40.062254,-76.351652,J,Tuesday/Friday,31,62,2.0,6.193548387,886.7877419,27490.42,251.026129,7781.81,700.0,0.283073522,6
Brad Miller (0000142022),265980,PLANET FITNESS - CARERRA#,265980,PLANET FITNESS - CARERRA#,Lancaster,366 Carerra Dr,PA,17601,"366 Carerra Dr Lancaster, PA 17601",1430025,40.074436,-76.328029,J,Tuesday/Friday,6,12,2.0,3.166666667,471.5383333,2829.23,214.8666667,1289.2,42.0,0.455671685,8
David Smith (0000143023),266314,Academy of Dover Charter Schoo,266314,Academy of Dover Charter Schoo,Dover,104 Saulsbury Rd,DE,19904,"104 Saulsbury Rd Dover, DE 19904",1430008,39.161809,-75.544465,D,Wednesday,14,16,1.142857143,1.857142857,392.7507143,5498.51,132.8821429,1860.35,120.0,0.338337113,24
Tom McKevitt (0000143010),266748,Elite Air Systems,266748,Elite Air Systems,Warminster,57 Ash Cir,PA,18974,"57 Ash Cir Warminster, PA 18974",1430004,40.188827,-75.092368,A,Friday,11,11,1.0,1.545454545,162.5172727,1787.69,73.11181818,804.23,19.0,0.449871063,21
Delaware Valley Office (0000143001),266867,All Jersey Janitorial Service,266867,All Jersey Janitorial Service,Freehold,1719 Ginesi Dr,NJ,7728,"1719 Ginesi Dr Freehold, NJ 07728",1430005,40.25755,-74.26017,A,Wednesday,6,8,1.333333333,2.833333333,593.74,3562.44,225.6216667,1353.73,164.0,0.380000786,15
Brad Miller (0000142022),267169,LEBANON GASKET & SEAL INC,267169,LEBANON GASKET & SEAL INC,Lebanon,2380 Colebrook Rd,PA,17042,"2380 Colebrook Rd Lebanon, PA 17042",1430035,40.286606,-76.469474,P,Tuesday/Friday,6,6,1.0,1.0,147.0766667,882.46,46.73333333,280.4,12.0,0.317748113,21
Robert Diller (0000142017),268257,Lancaster Cty Solid Waste Man,268257,Lancaster Cty Solid Waste Man,Lancaster,1299 Harrisburg Ave,PA,17603,"1299 Harrisburg Ave Lancaster, PA 17603",1430025,40.056549,-76.328204,J,Tuesday/Friday,11,16,1.454545455,2.181818182,252.7790909,2780.57,98.49727273,1083.47,63.0,0.389657516,36
Delaware Valley Office (0000143001),268915,Eagle Design Group LLC,268915,Eagle Design Group LLC,Chester Springs,45 Senn Dr,PA,19425,"45 Senn Dr Chester Springs, PA 19425",1430013,40.074642,-75.679427,C,Monday/Thursday,6,6,1.0,1.5,125.7466667,754.48,47.035,282.21,10.0,0.3740457,21
Nick Misciagno (0000143017),269078,Tyler Professional Services,269078,Tyler Professional Services,Royersford,174 Jordan Ct,PA,19468,"174 Jordan Ct Royersford, PA 19468",1430016,40.22805,-75.539027,C,Wednesday,9,12,1.333333333,2.111111111,890.8766667,8017.89,334.1366667,3007.23,119.0,0.375065011,6
Martin Carberry (0000142016),269479,LINCOLN INTERMEDIATE UNIT #12,269479,LINCOLN INTERMEDIATE UNIT #12,New Oxford,65 Billerbeck St,PA,17350,"65 Billerbeck St New Oxford, PA 17350",1430039,39.868075,-77.046175,L,Thursday,8,8,1.0,1.5,446.89625,3575.17,125.89,1007.12,90.0,0.281698493,24
Matthew Morris (0000142013),269640,BERKS COUNTY INTERMEDIATE UNIT,269640,BERKS COUNTY INTERMEDIATE UNIT,Reading,1111 Commons Blvd,PA,19605,"1111 Commons Blvd Reading, PA 19605",1430029,40.40271,-75.95389,K,Monday/Thursday,6,6,1.0,1.0,223.2683333,1339.61,52.67,316.02,23.0,0.23590448,0
Leianne Krotec (0000143021),269945,Ciocca Volkswagon of Allentown,269945,Ciocca Volkswagon of Allentown,Allentown,1346 Lehigh St,PA,18103,"1346 Lehigh St Allentown, PA 18103",1430015,40.582905,-75.477539,E,Tuesday/Friday,9,10,1.111111111,3.222222222,567.2255556,5105.03,167.5066667,1507.56,97.0,0.295308745,8
Leianne Krotec (0000143021),270093,St Dorothy Parish,270093,St Dorothy Parish,Drexel Hill,4910 Township Line Rd,PA,19026,"4910 Township Line Rd Drexel Hill, PA 19026",1430001,39.95645,-75.319986,D,Monday,6,7,1.166666667,1.333333333,0.0,0.0,-48.24833333,-289.49,11.0,0.0,28
David Smith (0000143023),271271,St Anne's Episcopal School,271271,St Anne's Episcopal School,MIDDLETOWN,211 Silver Lake Rd,DE,19709,"211 Silver Lake Rd MIDDLETOWN, DE 19709",1430018,39.439293,-75.69901,D,Thursday,6,8,1.333333333,2.666666667,574.6333333,3447.8,173.8283333,1042.97,62.0,0.302503045,8
David Smith (0000143023),271622,Holy Cross Catholic School,271622,Holy Cross Catholic School,Dover,631 S State St,DE,19901,"631 S State St Dover, DE 19901",1430008,39.150755,-75.520731,D,Wednesday,14,22,1.571428571,3.357142857,1508.007857,21112.11,572.705,8017.87,254.0,0.379775873,3
Martin Carberry (0000142016),271965,JOHN WRIGHT RESTAURANT,271965,JOHN WRIGHT RESTAURANT,Wrightsville,234 N Front St,PA,17368,"234 N Front St Wrightsville, PA 17368",1430040,40.028236,-76.528758,L,Tuesday/Friday,10,11,1.1,2.7,625.64,6256.4,173.565,1735.65,100.0,0.277419922,15
Nick Misciagno (0000143017),272447,Hill Top Preparatory School,272447,Hill Top Preparatory School,Bryn Mawr,737 S Ithan Ave,PA,19010,"737 S Ithan Ave Bryn Mawr, PA 19010",1430002,40.015651,-75.354084,C,Friday,10,14,1.4,4.9,591.065,5910.65,299.569,2995.69,85.0,0.506829198,15
Tom McKevitt (0000143010),272530,St Ephrem Church and School,272530,St Ephrem Church and School,Bensalem,5400 Hulmeville Rd,PA,19020,"5400 Hulmeville Rd Bensalem, PA 19020",1430003,40.125867,-74.927804,A,Tuesday,8,10,1.25,3.0,724.61,5796.88,270.34375,2162.75,140.0,0.373088627,34
Rutters (0000142020),272562,RUTTERS FARM STORES #64,272562,RUTTERS FARM STORES #64,Carlisle,1150 HARRISBURG PIKE,PA,17013,"1150 HARRISBURG PIKE Carlisle, PA 17013",1430045,40.227365,-77.153628,R,Tuesday,60,65,1.083333333,8.9,288.4265,17305.59,68.62866667,4117.72,704.0,0.237941613,36
Brad Miller (0000142022),272805,Allen M Hurst Jr Clean Sweep,272805,Allen M Hurst Jr Clean Sweep,ELIZABETHTOWN,2135 Ashwood Ln,PA,17022,"2135 Ashwood Ln ELIZABETHTOWN, PA 17022",1430034,40.16984,-76.54258,P,Monday/Thursday,8,9,1.125,3.625,638.04125,5104.33,201.87375,1614.99,94.0,0.316396079,15
Lancaster NP (0000142001),272808,Robert Diller,272808,Robert Diller,Lititz,1 Sussex Place,PA,17543,"1 Sussex Place Lititz, PA 17543",1430024,40.16266,-76.30963,J,Monday/Thursday,7,7,1.0,1.285714286,47.08428571,329.59,3.462857143,24.24,19.0,0.073545921,28
Open S. NJ (0000143012),272878,UMC The Shores,272878,UMC The Shores,Ocean City,2201 Bay Ave,NJ,8226,"2201 Bay Ave Ocean City, NJ 08226",1430010,39.266444,-74.597999,E,Thursday,9,9,1.0,1.555555556,1175.477778,10579.3,261.6955556,2355.26,18.0,0.222629096,31
Rutters (0000142020),273310,RUTTERS FARM STORES #56,273310,RUTTERS FARM STORES #56,New Cumberland,368 LEWISBERRY RD,PA,17070,"368 LEWISBERRY RD New Cumberland, PA 17070",1430045,40.206986,-76.87441,R,Tuesday,60,67,1.116666667,11.03333333,526.5023333,31590.14,184.5101667,11070.61,978.0,0.350445107,8
Lancaster NP (0000142001),273732,Pete Annick,273732,Pete Annick,Lancaster,1882 Manchester Ln,PA,17601,"1882 Manchester Ln Lancaster, PA 17601",1430025,40.074734,-76.312886,J,Tuesday/Friday,6,10,1.666666667,3.166666667,105.6983333,634.19,0.0,0.0,25.0,0.0,21
Brad Miller (0000142022),273937,ST THERESA SCHOOL,273937,ST THERESA SCHOOL,New Cumberland,1200 Bridge St,PA,17070,"1200 Bridge St New Cumberland, PA 17070",1430034,40.232663,-76.874761,P,Monday/Thursday,10,13,1.3,3.5,375.273,3752.73,157.801,1578.01,136.0,0.420496545,24
Nick Misciagno (0000143017),274439,Church of the Saviour,274439,Church of the Saviour,Wayne,651 N Wayne Ave,PA,19087,"651 N Wayne Ave Wayne, PA 19087",1430002,40.054325,-75.39025,C,Friday,9,10,1.111111111,4.666666667,984.9433333,8864.49,289.6155556,2606.54,150.0,0.294042861,23
Paul Carberry (0000143018),279103,St Agnes Parish,279103,St Agnes Parish,West Chester,233 W Gay St,PA,19380,"233 W Gay St West Chester, PA 19380",1430002,39.959241,-75.608983,C,Friday,19,35,1.842105263,4.789473684,1173.515263,22296.79,428.9578947,8150.2,625.0,0.365532438,31
Paul Carberry (0000143018),279123,Western Montgomery Career &,279123,Western Montgomery Career &,Limerick,77 Gratersford Rd,PA,19468,"77 Gratersford Rd Limerick, PA 19468",1430016,40.23509,-75.50849,C,Wednesday,18,29,1.611111111,6.333333333,2025.086111,36451.55,744.4361111,13399.85,580.0,0.367607139,26
Tom McKevitt (0000143010),279782,Bethany Wesleyan Church,279782,Bethany Wesleyan Church,Cherryville,675 Blue Mountain Dr,PA,18035,"675 Blue Mountain Dr Cherryville, PA 18035",1430014,40.756924,-75.537764,E,Tuesday,11,13,1.181818182,1.727272727,411.0836364,4521.92,204.6836364,2251.52,87.0,0.497912391,24
Nick Misciagno (0000143017),279804,Fred Beans VW of Devon,279804,Fred Beans VW of Devon,Devon,315 W Lancaster Ave,PA,19333,"315 W Lancaster Ave Devon, PA 19333",1430002,40.045365,-75.430081,C,Friday,10,10,1.0,1.0,127.738,1277.38,35.408,354.08,22.0,0.277192378,21
Robert Diller (0000142017),280526,QUARRYVILLE PRESBYTERIAN-MED#,280526,QUARRYVILLE PRESBYTERIAN-MED#,Quarryville,625 Robert Fulton Hwy,PA,17566,"625 Robert Fulton Hwy Quarryville, PA 17566",1430025,39.88719,-76.16151,J,Tuesday/Friday,24,26,1.083333333,3.083333333,217.5275,5220.66,65.46583333,1571.18,343.0,0.300954285,0
Mike Schlitter (0000142011),281065,NEW COVENANT CHRISTIAN SCHOOL,281065,NEW COVENANT CHRISTIAN SCHOOL,Lebanon,452 Ebenezer Rd,PA,17046,"452 Ebenezer Rd Lebanon, PA 17046",1430035,40.3609,-76.46091,P,Tuesday/Friday,7,8,1.142857143,2.0,660.6614286,4624.63,222.06,1554.42,61.0,0.3361177,15
Delaware Valley Office (0000143001),281483,Bermuda Janitorial Supply,281483,Bermuda Janitorial Supply,Salem,103 Tilbury Rd,NJ,8079,"103 Tilbury Rd Salem, NJ 08079",1430006,39.57389,-75.48055,D,Tuesday,6,6,1.0,1.666666667,2424.078333,14544.47,865.6433333,5193.86,326.0,0.357102046,29
Paul Carberry (0000143018),282370,Bishop Shanahan,282370,Bishop Shanahan,Downingtown,220 Woodbine Rd,PA,19335,"220 Woodbine Rd Downingtown, PA 19335",1430013,40.008903,-75.688133,C,Monday/Thursday,10,34,3.4,9.8,5604.387,56043.87,2202.809,22028.09,982.0,0.393050837,16
Paul Carberry (0000143018),283059,ST JOSEPH PARISH,283059,St Joseph Parish,Downingtown,332 Manor Ave,PA,19335,"332 Manor Ave Downingtown, PA 19335",1430013,40.008268,-75.715478,C,Monday/Thursday,10,18,1.8,3.5,3765.756,37657.56,1328.392,13283.92,278.0,0.352755728,19
Robert Diller (0000142017),283078,GARBER METROLOGY,283078,GARBER METROLOGY,Lititz,520 E Oregon Rd Ste 101,PA,17543,"520 E Oregon Rd Ste 101 Lititz, PA 17543",1430024,40.111051,-76.288879,J,Monday/Thursday,16,16,1.0,1.5,117.58625,1881.38,41.274375,660.39,27.0,0.351013618,21
Brian Deiling (0000142018),283720,SAINT CLAIR SCHOOL DISTRICT,283720,SAINT CLAIR SCHOOL DISTRICT,Saint Clair,227 S Mill St,PA,17970,"227 S Mill St Saint Clair, PA 17970",1430023,40.717578,-76.186498,J,Wednesday,10,12,1.2,2.1,1575.992,15759.92,531.3,5313.0,218.0,0.337121001,3
Tom McKevitt (0000143010),284104,Multi Flow Industries L.P.,284104,Multi Flow Industries L.P.,Huntingdon Valley,1434 County Line Rd,PA,19006,"1434 County Line Rd Huntingdon Valley, PA 19006",1430004,40.161365,-75.055143,A,Friday,10,15,1.5,3.6,748.351,7483.51,309.883,3098.83,263.0,0.414087774,34
Bob Carberry (0000143011),284279,Stuart Country Day School of,284279,Stuart Country Day School of,Princeton,1200 Stuart Rd,NJ,8540,"1200 Stuart Rd Princeton, NJ 08540",1430005,40.367341,-74.686345,A,Wednesday,8,13,1.625,3.875,1623.96625,12991.73,560.68125,4485.45,174.0,0.34525425,22
Chuck Lutes (0000143024),284678,Holy Family Regional Catholic,284678,Holy Family Regional Catholic,Levittown,2477 Trenton Rd,PA,19056,"2477 Trenton Rd Levittown, PA 19056",1430003,40.164416,-74.879622,A,Tuesday,6,8,1.333333333,4.333333333,1138.193333,6829.16,367.7566667,2206.54,169.0,0.323105624,31
Robert Diller (0000142017),284763,KINDERHOOK EARLY LEARNING CNTR,284763,KINDERHOOK EARLY LEARNING CNTR,Marietta,420 Coffee Goss Rd,PA,17547,"420 Coffee Goss Rd Marietta, PA 17547",1430022,40.063886,-76.570381,J,Tuesday,7,8,1.142857143,4.142857143,371.0728571,2597.51,149.4585714,1046.21,81.0,0.402774195,24
Brian Deiling (0000142018),285279,MIFFLIN COUNTY SCHOOL DISTRICT,285279,MIFFLIN COUNTY SCHOOL DISTRICT,Lewistown,103 Green Ave,PA,17044,"103 Green Ave Lewistown, PA 17044",1430038,40.594425,-77.56841,L,Wednesday,12,21,1.75,3.083333333,463.2433333,5558.92,207.2516667,2487.02,349.0,0.447392659,8
Nick Misciagno (0000143017),285568,Meadowood Corporation,285568,Meadowood Corporation,Worcester,3205 Skippack Pike,PA,19490,"3205 Skippack Pike Worcester, PA 19490",1430016,40.206841,-75.355317,C,Wednesday,9,12,1.333333333,6.0,954.5033333,8590.53,208.33,1874.97,563.0,0.218260107,23
Mike Schlitter (0000142011),286415,LEBANON VALLEY HOME#,286415,LEBANON VALLEY HOME#,Annville,550 E Main St,PA,17003,"550 E Main St Annville, PA 17003",1430035,40.330288,-76.505615,P,Tuesday/Friday,13,16,1.230769231,3.923076923,418.9684615,5446.59,85.73076923,1114.5,218.0,0.204623443,24
Brad Miller (0000142022),286426,SPOOKY NOOK SPORTS#,286426,SPOOKY NOOK SPORTS#,Manheim,2913 Spooky Nook Rd,PA,17545,"2913 Spooky Nook Rd Manheim, PA 17545",1430034,40.105853,-76.419331,P,Monday/Thursday,12,15,1.25,2.333333333,1230.169167,14762.03,464.3441667,5572.13,147.0,0.377463669,12
Leianne Krotec (0000143021),292196,St Peters Evangelical Lutheran,292196,St Peters Evangelical Lutheran,North Wales,211 S Main St,PA,19454,"211 S Main St North Wales, PA 19454",1430019,40.210194,-75.274989,C,Tuesday,6,8,1.333333333,4.0,345.6366667,2073.82,150.7783333,904.67,42.0,0.436233617,36
Mike Schlitter (0000142011),292303,ST JAMES CATHOLIC CHURCH,292303,ST JAMES CATHOLIC CHURCH,Lititz,505 Woodcrest Ave,PA,17543,"505 Woodcrest Ave Lititz, PA 17543",1430024,40.145771,-76.31174,J,Monday/Thursday,13,13,1.0,1.307692308,191.9615385,2495.5,70.44307692,915.76,55.0,0.366964536,0
Bob Carberry (0000143011),293699,Precision Acura of Princeton,293699,Precision Acura of Princeton,Lawrenceville,3001 US Highway 1,NJ,8648,"3001 US Highway 1 Lawrenceville, NJ 08648",1430005,40.276807,-74.705137,A,Wednesday,17,18,1.058823529,3.529411765,1617.802353,27502.64,445.89,7580.13,92.0,0.275614632,22
Robert Diller (0000142017),294039,UNITED ZION APN RETIREMENT#,294039,UNITED ZION APN RETIREMENT#,Lititz,722 Furnace Hills Pike,PA,17543,"722 Furnace Hills Pike Lititz, PA 17543",1430024,40.178626,-76.310323,J,Monday/Thursday,8,11,1.375,2.375,494.0575,3952.46,138.30125,1106.41,89.0,0.279929462,8
Leianne Krotec (0000143021),294138,New Life Thrift Inc,294138,New Life Thrift Inc,Glenside,800 N Easton Rd,PA,19038,"800 N Easton Rd Glenside, PA 19038",1430009,40.114804,-75.139946,E,Monday,11,11,1.0,2.181818182,284.9836364,3134.82,108.1118182,1189.23,47.0,0.379361494,36
Brian Deiling (0000142018),294629,BERWICK AREA YMCA#,294629,BERWICK AREA YMCA#,Berwick,231 W 3rd St,PA,18603,"231 W 3rd St Berwick, PA 18603",1430033,41.054821,-76.238001,P,Wednesday,7,8,1.142857143,5.714285714,626.6814286,4386.77,284.5742857,1992.02,86.0,0.454097206,15
Leianne Krotec (0000143021),294842,FAMILY WORSHIP CENTER,294842,Family Worship Center,Lansdale,1000 Troxel Rd,PA,19446,"1000 Troxel Rd Lansdale, PA 19446",1430019,40.243938,-75.320263,C,Tuesday,7,8,1.142857143,2.0,190.2157143,1331.51,97.21857143,680.53,18.0,0.511096424,0
Tom McKevitt (0000143010),295270,Dreamline,295270,Dreamline,Warminster,75 Hawk Rd,PA,18974,"75 Hawk Rd Warminster, PA 18974",1430004,40.199521,-75.082562,A,Friday,7,10,1.428571429,1.285714286,1114.064286,7798.45,232.1842857,1625.29,108.0,0.208411928,31
Nick Misciagno (0000143017),295439,National Glass and Metal Co. I,295439,National Glass and Metal Co. I,Horsham,1424 Easton Rd Ste 400,PA,19044,"1424 Easton Rd Ste 400 Horsham, PA 19044",1430004,40.20087,-75.13876,A,Friday,8,10,1.25,1.625,338.035,2704.28,129.7125,1037.7,52.0,0.383725058,36
Pete Annick (0000142010),295619,NATIONAL NOVELTY BRUSH CO#,295619,NATIONAL NOVELTY BRUSH CO#,Lancaster,505 E Fulton St,PA,17602,"505 E Fulton St Lancaster, PA 17602",1430024,40.043109,-76.295321,J,Monday/Thursday,10,10,1.0,1.3,190.147,1901.47,81.623,816.23,52.0,0.429262623,0
Robert Diller (0000142017),295895,AMERICAS AUTO AUCTION,295895,AMERICAS AUTO AUCTION,East Petersburg,1040 Commercial Ave,PA,17520,"1040 Commercial Ave East Petersburg, PA 17520",1430025,40.085596,-76.348423,J,Tuesday/Friday,6,8,1.333333333,5.0,1258.835,7553.01,473.535,2841.21,119.0,0.376169236,12
